source_folder,filename,predicted,confidence
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_10.jpg,normal,0.8625641088436643
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_100.jpg,normal,0.40667066543206043
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1000.jpg,fungal,0.46358131326471785
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1001.jpg,mange,0.5675058835090082
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1002.jpg,normal,0.6360052875246192
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1003.jpg,fungal,0.26755797793232344
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1004.jpg,normal,0.7484361799557919
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1005.jpg,normal,0.5358028968681243
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1006.jpg,fungal,0.37025067186434446
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1007.jpg,fungal,0.40266535976287465
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1008.jpg,normal,0.4027126451947393
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1009.jpg,normal,0.617592731561007
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_101.jpg,mange,0.3108349814611905
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1010.jpg,mange,0.5085189638324901
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1011.jpg,fungal,0.3753028007683056
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1012.jpg,normal,0.672613518071886
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1013.jpg,fungal,0.2622666622775297
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1014.jpg,normal,0.5387830566725693
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1015.jpg,other,0.46602981874763993
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1016.jpg,normal,0.5897665925708939
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1017.jpg,other,0.2846185900082462
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1018.jpg,fungal,0.6789694708312748
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1019.jpg,fungal,0.6316931068926943
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_102.jpg,fungal,0.2460589859385082
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1020.jpg,mange,0.35266730796950424
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1021.jpg,normal,0.9889826876995345
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1022.jpg,fungal,0.6495840015790482
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1023.jpg,fungal,0.2535938905642087
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1024.jpg,normal,0.33117306802035285
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1025.jpg,fungal,0.24124602322265937
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1026.jpg,allergy,0.40177733433284324
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1027.jpg,fungal,0.37939057684346145
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1028.jpg,normal,0.9187719692145916
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1029.jpg,normal,0.2841595573949909
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_103.jpg,normal,0.314725703611805
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1030.jpg,fungal,0.5203686907125641
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1031.jpg,normal,0.6493943658350888
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1032.jpg,fungal,0.39120376083613484
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1033.jpg,other,0.553115854615998
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1034.jpg,normal,0.40374714789314886
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1035.jpg,mange,0.3172062937490116
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1036.jpg,normal,0.306229306180327
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1037.jpg,fungal,0.4065811121655801
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1038.jpg,wound,0.40275787799360413
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1039.jpg,other,0.7358981781739646
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_104.jpg,fungal,0.3410601222452355
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1040.jpg,fungal,0.5603390365218743
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1041.jpg,normal,0.46082687191691657
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1042.jpg,fungal,0.26104205271950054
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1043.jpg,fungal,0.339477064754643
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1044.jpg,fungal,0.5009003868141731
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1045.jpg,wound,0.29388063645775525
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_105.jpg,mange,0.8006913151175491
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1052.jpg,normal,0.4897728373809844
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1053.jpg,mange,0.5942253733855593
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1054.jpg,normal,0.379079460446572
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1055.jpg,normal,0.7300191177746611
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1056.jpg,mange,0.2491819530236962
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1057.jpg,normal,0.6944658546306356
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1058.jpg,mange,0.5866428774837077
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1059.jpg,fungal,0.38264658310555305
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1060.jpg,wound,0.37276885555775374
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1061.jpg,mange,0.39961409976735623
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1062.jpg,normal,0.8914600990742152
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1063.jpg,normal,0.3856031136099857
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1064.jpg,fungal,0.3392640084342355
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1065.jpg,fungal,0.33018069076875545
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1066.jpg,fungal,0.3847541102401138
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1067.jpg,fungal,0.4161746104631631
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1068.jpg,normal,0.8283724381964103
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1069.jpg,fungal,0.42236704566696637
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1070.jpg,bacterial,0.2873838155801875
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1071.jpg,normal,0.2653330458986538
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1072.jpg,other,0.23422916079153455
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1073.jpg,fungal,0.2662157885062605
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1074.jpg,wound,0.2900709712461781
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1075.jpg,fungal,0.34548680730625475
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1076.jpg,fungal,0.3890602881270412
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1077.jpg,normal,0.4984547554560529
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1078.jpg,fungal,0.4475917412632961
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1079.jpg,other,0.48485079362522515
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1080.jpg,normal,0.6942746353658229
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1081.jpg,normal,0.3476612515514775
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1082.jpg,normal,0.42944259486027414
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1083.jpg,fungal,0.4085276752089896
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1084.jpg,mange,0.3869998333856271
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1085.jpg,fungal,0.49178669502992833
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1086.jpg,normal,0.6977336371875659
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1087.jpg,fungal,0.39386941844941836
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1088.jpg,normal,0.5058377399379752
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1089.jpg,normal,0.6019530029810124
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1090.jpg,bacterial,0.3522806868427669
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1091.jpg,normal,0.5202614216170472
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1092.jpg,normal,0.6486630146770189
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1093.jpg,normal,0.5888360013362393
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1094.jpg,normal,0.38592787377483817
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1095.jpg,bacterial,0.24837975646927812
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1096.jpg,fungal,0.4568053623907286
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1097.jpg,bacterial,0.2774671666862841
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1098.jpg,other,0.3623190346693504
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1099.jpg,normal,0.2500561703895381
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_11.jpg,normal,0.42050959978802827
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1100.jpg,normal,0.581267466841748
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1101.jpg,mange,0.7575927950783357
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1105.jpg,normal,0.37319815423945596
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1106.jpg,other,0.4163315313136675
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1107.jpg,normal,0.8113112385638159
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1108.jpg,normal,0.40831766035302686
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1109.jpg,mange,0.7700067313526403
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1110.jpg,normal,0.7517080141246236
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1111.jpg,normal,0.5071759221353136
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1112.jpg,other,0.3471705202013779
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1113.jpg,normal,0.7264933391964887
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1114.jpg,normal,0.46834361684045833
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1115.jpg,fungal,0.7496433580674888
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1116.jpg,fungal,0.35947783513972065
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1117.jpg,wound,0.44002389920045937
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1118.jpg,fungal,0.2735227822739903
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1119.jpg,normal,0.740848742937487
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1120.jpg,normal,0.7122371983910408
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1121.jpg,wound,0.4247848702003551
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1122.jpg,fungal,0.22723862892780858
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1123.jpg,normal,0.5535516061044975
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1124.jpg,bacterial,0.34709769585504036
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1125.jpg,normal,0.2322867664028002
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1126.jpg,normal,0.5535262903496737
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1127.jpg,normal,0.3269365099215666
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1128.jpg,bacterial,0.21537578028588836
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1129.jpg,bacterial,0.3458710487382686
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1130.jpg,other,0.4849048314436126
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1131.jpg,allergy,0.3044818975002657
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1132.jpg,mange,0.3173242240754148
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1133.jpg,normal,0.7129686240841839
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1134.jpg,fungal,0.5663122487867853
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1135.jpg,wound,0.25643111679591285
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1136.jpg,fungal,0.49257271309505174
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1137.jpg,other,0.4412959471103559
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1138.jpg,mange,0.31213541933752403
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1139.jpg,normal,0.27718549938117865
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1140.jpg,fungal,0.36462861826126375
dataset_1,..\PawlensAI\scraped_images\dataset_1\img_1141.jpg,normal,0.732485702962026
